Business Function,Data Element,Source System/Module,Source DB Table,Source Field(s),Calculation/Transformation Logic,Consuming Screens/APIs,System Owner,Validation Method,Last Verified Date,Notes/Risks
Authentication,User session token,Supabase Auth,auth.users,id; email; access_token,Supabase JWT issued at sign-in; cached client-side via sessionCache.js,All API endpoints via authenticateUser(); AuthPage.jsx,Engineering,Production telemetry on 401 spikes,2026-05-24,Token refresh handled by Supabase SDK; getCachedSession debounces concurrent fetches
Authentication,Active session record,Sessions module,user_sessions,user_id; device_id; last_active_at,Inserted on app open via api/sessions/record; validated on resume via api/sessions/validate,SettingsPage.jsx; ActiveSessionsPage.jsx,Engineering,Manual QA on logout-from-other-devices flow,2026-05-24,Used for forced sign-out across devices
Authentication,Biometric unlock,Capacitor Native Biometric,profiles,id (key stored in secure enclave),Hardware-backed biometric token kept on device; verified before pinned actions,AuthPage.jsx; BiometricsDebugPage.jsx,Mobile Engineering,Manual QA per device family,2026-05-24,iOS/Android only; web fallback to PIN
Authentication,PIN unlock,Local storage,(none),pin_hash,SHA-256 of PIN compared client-side; rate-limited attempts,PinSetupPage.jsx; AuthPage.jsx,Mobile Engineering,Code review,2026-05-24,No server-side lockout; client lockout only
KYC & Onboarding,SA ID validation,Onboarding module,profiles,id_number,Luhn checksum + DOB extraction; api/onboarding/check-id-number returns availability,UserOnboardingPage.jsx,Compliance,Vitest planned; currently manual,2026-05-24,Server enforces uniqueness; client format check is cosmetic
KYC & Onboarding,FICA verification status,Sumsub KYC,user_onboarding,kyc_status,Sumsub webhook updates status to verified/onboarding_complete; gates investment + gift claims,IdentityCheckPage.jsx; gift/claim.js; gift/claim-v2.js,Compliance,Sumsub sandbox + live spot checks,2026-05-24,Gift claims hard-block until kyc_status in (verified; onboarding_complete)
KYC & Onboarding,Employment details,Onboarding module,user_employment,employer_name; income_band; source_of_funds,Captured in UserOnboardingPage; persisted via api/onboarding/save-employment,UserOnboardingPage.jsx,Compliance,Manual QA,2026-05-24,Required for FICA risk rating
KYC & Onboarding,Mandate / agreement,Onboarding module,user_mandates; user_agreements,signature_blob; agreement_pdf_url,Captured via signature_pad; uploaded via api/onboarding/upload-agreement to Supabase storage,UserOnboardingPage.jsx; LegalDocumentationPage.jsx,Legal/Compliance,Manual review on first 100 signups,2026-05-24,PDF kept for 7-year retention per FSCA rules
KYC & Onboarding,Bank letter upload,Onboarding module,user_bank_letters,letter_pdf_url,Uploaded via api/onboarding/upload-bank-letter; reviewed manually,UserOnboardingPage.jsx,Compliance,Manual ops review,2026-05-24,Triggers EFT account verification
KYC & Onboarding,Mint number assignment,User module,profiles,mint_number,Sequential allocation via api/user/ensure-mint-number; one per profile,EditProfilePage.jsx; gift/claim-v2.js,Engineering,Unique constraint in DB,2026-05-24,Gift claim v2 hard-blocks if mint_number is null
Wallet & Balance,Wallet balance,Wallets module,wallets,balance; pending_balance,balance = available funds; pending_balance = in-flight EFT amounts; updated on deposit/withdraw/invest,SwipeableBalanceCard.jsx; HomePage.jsx; api/confirm-eft-deposit.js,Ops,Daily reconciliation script,2026-05-24,Race conditions guarded via .eq(balance; oldBalance) optimistic concurrency in record-investment
Wallet & Balance,EFT deposit intent,Transactions module,transactions,description (JSON eft_intent); store_reference,Stored as JSON in transactions.description with type=eft_intent; resolved on confirm,DepositPage.jsx; api/eft-deposit.js,Engineering,Manual end-to-end,2026-05-24,Reference is the matching key for inbound ACH/Stitch credits
Wallet & Balance,EFT deposit confirmation,Confirm-EFT module,transactions; stock_holdings_c; wallets,status; balance; pending_balance,On confirm: marks txn posted; inserts new holding row (always-insert per buy); wallet balance increment + pending decrement,api/confirm-eft-deposit.js (admin-secret gated),Ops,Admin-only manual triggers; logged,2026-05-24,Admin secret guard via ADMIN_SECRET env; settles at current price as avg_fill
